plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_scene,Type of vegetation:,Confidence:
51,51,-120.46271318476079,34.45356861858712,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:30,3.6 secs,NAIP 2020,,POINT(-120.46271318476079 34.45356861858712),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
52,52,-120.46361405077123,34.462209287504045,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:30,13.6 secs,NAIP 2020,,POINT(-120.46361405077123 34.462209287504045),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
53,53,-120.48511049889525,34.49598954249729,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:30,9.2 secs,NAIP 2020,,POINT(-120.48511049889525 34.49598954249729),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
54,54,-120.49518704364371,34.49743532039901,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,7.9 secs,NAIP 2020,,POINT(-120.49518704364371 34.49743532039901),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
55,55,-120.44779462973366,34.44900100437901,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,4.2 secs,NAIP 2020,,POINT(-120.44779462973366 34.44900100437901),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
56,56,-120.4681608803462,34.45869579362605,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,3.6 secs,NAIP 2020,,POINT(-120.4681608803462 34.45869579362605),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
57,57,-120.49469512904558,34.48854901195003,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,3.8 secs,NAIP 2020,,POINT(-120.49469512904558 34.48854901195003),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
58,58,-120.45441247869522,34.44393560060137,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,3.6 secs,NAIP 2020,,POINT(-120.45441247869522 34.44393560060137),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
59,59,-120.486300945983,34.486586134298435,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,5.7 secs,NAIP 2020,,POINT(-120.486300945983 34.486586134298435),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
60,60,-120.46468422562316,34.47130240552811,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,10.1 secs,NAIP 2020,,POINT(-120.46468422562316 34.47130240552811),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
61,61,-120.44356378950324,34.454348585509344,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,5.6 secs,NAIP 2020,,POINT(-120.44356378950324 34.454348585509344),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
62,62,-120.468296198973,34.45529632558675,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:31,3.4 secs,NAIP 2020,,POINT(-120.468296198973 34.45529632558675),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
63,63,-120.4713157285031,34.47143987007029,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:32,24.3 secs,NAIP 2020,,POINT(-120.4713157285031 34.47143987007029),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
64,64,-120.4772675788492,34.47961696618586,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:32,5.8 secs,NAIP 2020,,POINT(-120.4772675788492 34.47961696618586),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
65,65,-120.46867517353627,34.48296044612695,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:32,23.2 secs,Mapbox Satellite,,POINT(-120.46867517353627 34.48296044612695),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
66,66,-120.46601701714764,34.452495884375494,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:32,9.4 secs,NAIP 2020,,POINT(-120.46601701714764 34.452495884375494),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
67,67,-120.46437078161412,34.46892675582728,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,19.8 secs,NAIP 2020,,POINT(-120.46437078161412 34.46892675582728),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
68,68,-120.46375473978085,34.465760516882895,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,4.1 secs,NAIP 2020,,POINT(-120.46375473978085 34.465760516882895),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
69,69,-120.45984500580913,34.45620811406074,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,4.6 secs,NAIP 2020,,POINT(-120.45984500580913 34.45620811406074),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
70,70,-120.4589592473299,34.45268465783821,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,3.6 secs,NAIP 2020,,POINT(-120.4589592473299 34.45268465783821),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
71,71,-120.46031321949341,34.45347007199908,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,3.7 secs,NAIP 2020,,POINT(-120.46031321949341 34.45347007199908),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
72,72,-120.46083442488153,34.452215196937786,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,4.1 secs,NAIP 2020,,POINT(-120.46083442488153 34.452215196937786),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
73,73,-120.46893466688702,34.46183283006174,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,3.2 secs,NAIP 2020,,POINT(-120.46893466688702 34.46183283006174),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
74,74,-120.46927617633241,34.46003870274486,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,3.2 secs,NAIP 2020,,POINT(-120.46927617633241 34.46003870274486),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
75,75,-120.47080335140735,34.47218652338257,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,5.4 secs,NAIP 2020,,POINT(-120.47080335140735 34.47218652338257),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
76,76,-120.45709605331707,34.44586840559812,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:33,3.6 secs,NAIP 2020,,POINT(-120.45709605331707 34.44586840559812),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
77,77,-120.47206399453647,34.467420233463855,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,15.0 secs,NAIP 2018,,POINT(-120.47206399453647 34.467420233463855),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
78,78,-120.47238300780235,34.477628232931266,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,31.9 secs,Mapbox Satellite,,POINT(-120.47238300780235 34.477628232931266),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
79,79,-120.46432864974447,34.460390468163624,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,4.4 secs,NAIP 2020,,POINT(-120.46432864974447 34.460390468163624),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
80,80,-120.45662667369896,34.45165709206547,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,3.6 secs,NAIP 2020,,POINT(-120.45662667369896 34.45165709206547),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
81,81,-120.46523916063872,34.45857029951588,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,4.9 secs,NAIP 2020,,POINT(-120.46523916063872 34.45857029951588),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
82,82,-120.47356717951851,34.46933367018776,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:34,5.1 secs,NAIP 2020,,POINT(-120.47356717951851 34.46933367018776),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
83,83,-120.46835530762213,34.467824828952,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,11.1 secs,NAIP 2020,,POINT(-120.46835530762213 34.467824828952),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
84,84,-120.4675269029872,34.46757506989272,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,6.3 secs,NAIP 2020,,POINT(-120.4675269029872 34.46757506989272),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
85,85,-120.46931653049317,34.450481799041604,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,3.7 secs,NAIP 2020,,POINT(-120.46931653049317 34.450481799041604),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
86,86,-120.46704173631665,34.45640080817945,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,3.8 secs,NAIP 2020,,POINT(-120.46704173631665 34.45640080817945),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
87,87,-120.4470686657023,34.45697491724491,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,17.1 secs,NAIP 2020,,POINT(-120.4470686657023 34.45697491724491),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
88,88,-120.46044887939968,34.45265613146061,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,5.1 secs,NAIP 2020,,POINT(-120.46044887939968 34.45265613146061),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
89,89,-120.47078048788049,34.46342344752468,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:35,4.0 secs,NAIP 2020,,POINT(-120.47078048788049 34.46342344752468),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
90,90,-120.49595127188006,34.502027041222554,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,23.7 secs,NAIP 2020,,POINT(-120.49595127188006 34.502027041222554),ca_m_3412037_nw_10_060_20200607,non-iceplant,Low confidence
91,91,-120.50000343153707,34.4943264653616,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,5.1 secs,NAIP 2020,,POINT(-120.50000343153707 34.4943264653616),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
92,92,-120.44729630559854,34.45679035939854,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,4.0 secs,NAIP 2020,,POINT(-120.44729630559854 34.45679035939854),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
93,93,-120.4702751677733,34.45787955856879,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,3.3 secs,NAIP 2020,,POINT(-120.4702751677733 34.45787955856879),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
94,94,-120.46847194598281,34.462017966648496,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,3.4 secs,NAIP 2020,,POINT(-120.46847194598281 34.462017966648496),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
95,95,-120.482805877436,34.48681164164793,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,7.3 secs,NAIP 2020,,POINT(-120.482805877436 34.48681164164793),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
96,96,-120.4676142587243,34.46079397988716,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,6.1 secs,NAIP 2020,,POINT(-120.4676142587243 34.46079397988716),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
97,97,-120.45411642185995,34.45196721307563,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:36,13.5 secs,NAIP 2018,,POINT(-120.45411642185995 34.45196721307563),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
98,98,-120.45574032661095,34.45375355795766,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:37,9.7 secs,NAIP 2020,,POINT(-120.45574032661095 34.45375355795766),ca_m_3412037_nw_10_060_20200607,iceplant,High confidence
99,99,-120.46781186859792,34.47024761882527,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:37,12.1 secs,NAIP 2020,,POINT(-120.46781186859792 34.47024761882527),ca_m_3412037_nw_10_060_20200607,non-iceplant,High confidence
100,100,-120.23248353958553,34.47664120112729,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:37,20.8 secs,NAIP 2018,,POINT(-120.23248353958553 34.47664120112729),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
101,101,-120.25196092598352,34.47559900733751,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:37,9.8 secs,NAIP 2020,,POINT(-120.25196092598352 34.47559900733751),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
102,102,-120.20661829818638,34.47141719210704,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:38,15.4 secs,NAIP 2018,,POINT(-120.20661829818638 34.47141719210704),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
103,103,-120.18653998643184,34.47714919622787,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:38,17.4 secs,NAIP 2020,,POINT(-120.18653998643184 34.47714919622787),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
104,104,-120.24788776973348,34.468573360607486,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:38,10.8 secs,NAIP 2020,,POINT(-120.24788776973348 34.468573360607486),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
105,105,-120.22712377552752,34.474599565925665,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 18:52,97.5 secs,NAIP 2020,,POINT(-120.22712377552752 34.474599565925665),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
106,106,-120.1996538972457,34.477163925203236,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:38,6.9 secs,NAIP 2020,,POINT(-120.1996538972457 34.477163925203236),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
107,107,-120.22915722117673,34.474726842699035,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:38,6.0 secs,NAIP 2020,,POINT(-120.22915722117673 34.474726842699035),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
108,108,-120.20780503990599,34.47480308306009,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:39,5.7 secs,NAIP 2020,,POINT(-120.20780503990599 34.47480308306009),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
109,109,-120.21110143020941,34.47289342960836,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 18:52,44.2 secs,NAIP 2020,,POINT(-120.21110143020941 34.47289342960836),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
110,110,-120.18869291814117,34.47410505492942,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:39,12.1 secs,NAIP 2018,,POINT(-120.18869291814117 34.47410505492942),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
111,111,-120.1863854598875,34.47863840764044,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:39,15.8 secs,NAIP 2020,,POINT(-120.1863854598875 34.47863840764044),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
112,112,-120.210821238917,34.47836597179379,galaz-garcia@nceas.ucsb.edu,false,2022-12-21 00:39,5.4 secs,NAIP 2020,,POINT(-120.210821238917 34.47836597179379),ca_m_3412039_nw_10_060_20200522,non-iceplant,High confidence
